order_id,user_id,is_repeat_session
1,20,0
2,104,0
3,147,0
4,160,0
5,177,0
6,232,0
7,241,0
8,295,0
9,304,0
10,317,0
11,321,0
12,327,0
13,332,0
14,336,0
15,428,0
16,434,0
17,465,0
18,507,0
19,536,0
20,615,0
21,639,0
22,732,0
23,750,0
24,783,0
25,844,0
26,908,0
27,909,0
28,940,0
29,954,0
30,1016,0
31,1021,0
32,1055,0
33,1077,0
34,1090,0
35,1094,0
36,1101,0
37,1103,0
38,1121,0
39,1238,0
40,1251,0
41,1325,0
42,1337,0
43,1412,0
44,1447,0
45,1456,0
46,1574,0
47,1598,0
48,1635,0
49,1638,0
50,1646,0
51,1677,0
52,1683,0
53,1701,0
54,1718,0
55,1721,0
56,1782,0
57,1794,0
58,1799,0
59,1815,0
60,1855,0
61,1882,0
62,1902,0
63,1929,0
64,1934,0
65,2025,0
66,2076,0
67,2089,0
68,2102,0
69,2196,0
70,2217,0
71,2247,0
72,2276,0
73,1752,1
74,2309,0
75,2376,0
76,2405,0
77,2414,0
78,2495,0
79,2503,0
80,383,1
81,2644,0
82,2746,0
83,2786,0
84,2854,0
85,2916,0
86,2956,0
87,2972,0
88,3012,0
89,3016,0
90,3048,0
91,3053,0
92,3107,0
93,3109,0
94,3116,0
95,3158,0
96,3157,0
97,3177,0
98,3215,0
99,3263,0
100,3267,0
101,3285,0
102,3289,0
103,3386,0
104,3411,0
105,3460,0
106,3565,0
107,3579,0
108,3602,0
109,3642,0
110,3648,0
111,3703,0
112,3722,0
113,811,1
114,3761,0
115,3824,0
116,3895,0
117,4047,0
118,4065,0
119,4076,0
120,4082,0
121,4086,0
122,3313,1
123,4174,0
124,4177,0
125,4191,0
126,167,1
127,455,1
128,4346,0
129,4362,0
130,755,1
131,4423,0
132,59,1
133,4474,0
134,4480,0
135,4481,0
136,4519,0
137,4533,0
138,4590,0
139,4674,0
140,4704,0
141,4718,0
142,4728,0
143,4774,0
144,4777,0
145,4785,0
146,2368,1
147,4832,0
148,4840,0
149,3291,1
150,4933,0
151,210,1
152,13,1
153,5116,0
154,5134,0
155,5154,0
156,5158,0
157,5243,0
158,5312,0
159,5387,0
160,5461,0
161,5488,0
162,876,1
163,4038,1
164,5539,0
165,5640,0
166,5649,0
167,5688,0
168,5691,0
169,3057,1
170,2617,1
171,5788,0
172,5797,0
173,5824,0
174,5840,0
175,5858,0
176,5918,0
177,6237,0
178,6242,0
179,6288,0
180,6291,0
181,6313,0
182,6322,0
183,6352,0
184,2020,1
185,6374,0
186,6381,0
187,6433,0
188,6500,0
189,6515,0
190,6565,0
191,5115,1
192,6648,0
193,6711,0
194,6732,0
195,6747,0
196,6754,0
197,3659,1
198,6841,0
199,6869,0
200,3123,1
201,6872,0
202,6880,0
203,6882,0
204,6929,0
205,872,1
206,6948,0
207,6994,0
208,6995,0
209,7097,0
210,7176,0
211,7195,0
212,4607,1
213,7248,0
214,3264,1
215,7260,0
216,7314,0
217,7355,0
218,7379,0
219,7425,0
220,7430,0
221,7432,0
222,7455,0
223,7498,0
224,7533,0
225,7569,0
226,7594,0
227,7599,0
228,4430,1
229,7630,0
230,1997,1
231,7735,0
232,4098,1
233,7867,0
234,8016,0
235,8026,0
236,8053,0
237,8054,0
238,8090,0
239,8114,0
240,8116,0
241,8136,0
242,8202,0
243,8203,0
244,8216,0
245,8250,0
246,8289,0
247,8299,0
248,8314,0
249,8353,0
250,8409,0
251,8436,0
252,8438,0
253,8453,0
254,8484,0
255,8493,0
256,8501,0
257,8548,0
258,8559,0
259,8567,0
260,8594,0
261,8676,0
262,8684,0
263,8701,0
264,8721,0
265,7771,1
266,8792,0
267,8836,0
268,8855,0
269,8898,0
270,8899,0
271,8911,0
272,8941,0
273,8948,0
274,8992,0
275,9022,0
276,9033,0
277,9038,0
278,4154,1
279,9057,0
280,9082,0
281,9182,0
282,9209,0
283,9213,0
284,9222,0
285,9259,0
286,9284,0
287,9342,0
288,9357,0
289,9364,0
290,9374,0
291,9406,0
292,9433,0
293,9446,0
294,9454,0
295,9509,0
296,9525,0
297,9553,0
298,9567,0
299,9576,0
300,9640,0
301,9658,0
302,6616,1
303,9669,0
304,9681,0
305,9689,0
306,9721,0
307,9788,0
308,9816,0
309,9836,0
310,9881,0
311,9882,0
312,3428,1
313,9933,0
314,7271,1
315,9955,0
316,9959,0
317,3561,1
318,10065,0
319,10067,0
320,10094,0
321,10124,0
322,10172,0
323,10216,0
324,10246,0
325,10250,0
326,10254,0
327,10253,0
328,10264,0
329,10272,0
330,8333,1
331,10306,0
332,7350,1
333,10459,0
334,3736,1
335,10668,0
336,10671,0
337,10678,0
338,10699,0
339,10775,0
340,10791,0
341,10799,0
342,10800,0
343,10812,0
344,10876,0
345,10878,0
346,10889,0
347,10913,0
348,10924,0
349,10931,0
350,10975,0
351,10984,0
352,10998,0
353,11003,0
354,10235,1
355,11071,0
356,11148,0
357,11176,0
358,11187,0
359,11200,0
360,11211,0
361,11249,0
362,11268,0
363,11285,0
364,11304,0
365,11352,0
366,11376,0
367,2108,1
368,11443,0
369,11481,0
370,9542,1
371,11522,0
372,8237,1
373,11583,0
374,11597,0
375,11611,0
376,11660,0
377,11661,0
378,11687,0
379,11742,0
380,11753,0
381,11159,1
382,11776,0
383,5191,1
384,11858,0
385,11867,0
386,11897,0
387,3561,1
388,11959,0
389,9109,1
390,6390,1
391,11986,0
392,12048,0
393,12061,0
394,12113,0
395,12139,0
396,12165,0
397,12188,0
398,10278,1
399,12197,0
400,12203,0
401,12207,0
402,3293,1
403,12293,0
404,12320,0
405,12374,0
406,12376,0
407,6095,1
408,12406,0
409,12530,0
410,12562,0
411,12576,0
412,12632,0
413,12651,0
414,12716,0
415,7434,1
416,12768,0
417,12787,0
418,12793,0
419,6033,1
420,12818,0
421,12847,0
422,12875,0
423,12888,0
424,12909,0
425,12920,0
426,12977,0
427,13001,0
428,13006,0
429,13081,0
430,11375,1
431,13138,0
432,13142,0
433,13159,0
434,13168,0
435,13179,0
436,13194,0
437,13203,0
438,13212,0
439,13225,0
440,13288,0
441,13304,0
442,13339,0
443,13349,0
444,13346,0
445,13369,0
446,13374,0
447,13445,0
448,13447,0
449,13459,0
450,13530,0
451,13544,0
452,7578,1
453,10468,1
454,13595,0
455,13624,0
456,13629,0
457,13637,0
458,13644,0
459,13645,0
460,13652,0
461,13660,0
462,13812,0
463,13833,0
464,13839,0
465,13859,0
466,13881,0
467,13898,0
468,13913,0
469,9892,1
470,7204,1
471,7753,1
472,14021,0
473,14022,0
474,14049,0
475,14068,0
476,14071,0
477,14085,0
478,14098,0
479,14102,0
480,14165,0
481,6960,1
482,14190,0
483,9740,1
484,14235,0
485,14239,0
486,14260,0
487,14268,0
488,14325,0
489,14329,0
490,14370,0
491,14382,0
492,14405,0
493,13547,1
494,14442,0
495,14453,0
496,14570,0
497,8415,1
498,14626,0
499,14663,0
500,11071,1
501,14711,0
502,14722,0
503,14730,0
504,14742,0
505,14746,0
506,14756,0
507,14814,0
508,14832,0
509,14831,0
510,14834,0
511,14833,0
512,14836,0
513,14852,0
514,7607,1
515,14861,0
516,4636,1
517,14887,0
518,9580,1
519,14911,0
520,14925,0
521,14930,0
522,14951,0
523,13852,1
524,8935,1
525,13186,1
526,15007,0
527,15021,0
528,15061,0
529,15091,0
530,15103,0
531,11920,1
532,15180,0
533,15187,0
534,15223,0
535,15260,0
536,15262,0
537,15264,0
538,15272,0
539,15330,0
540,15336,0
541,15335,0
542,15338,0
543,15383,0
544,15424,0
545,11701,1
546,15473,0
547,15489,0
548,15500,0
549,15525,0
550,15541,0
551,15552,0
552,15564,0
553,15571,0
554,15574,0
555,15602,0
556,15615,0
557,15666,0
558,10461,1
559,15719,0
560,12808,1
561,15744,0
562,15774,0
563,15796,0
564,15805,0
565,15816,0
566,15865,0
567,15945,0
568,15947,0
569,15965,0
570,16031,0
571,16037,0
572,10417,1
573,16076,0
574,16103,0
575,16150,0
576,16198,0
577,13817,1
578,16238,0
579,16283,0
580,16295,0
581,16296,0
582,16308,0
583,16328,0
584,8805,1
585,16361,0
586,16391,0
587,16410,0
588,16411,0
589,16429,0
590,16428,0
591,16430,0
592,16442,0
593,16453,0
594,14185,1
595,16480,0
596,16482,0
597,16487,0
598,16518,0
599,16526,0
600,16532,0
601,6576,1
602,16571,0
603,16578,0
604,16625,0
605,16629,0
606,12792,1
607,16658,0
608,16659,0
609,16665,0
610,16675,0
611,16693,0
612,16717,0
